MA 208	Proofs and Programs	Siddhartha Gadgil	Mon, Wed, Fri	9:00 - 10:00
MA 213	Algebra II	Radhika Ganapathy	Mon, Wed, Fri	8:00 - 9:00
MA 215	Introduction to Modular Forms	Mahesh Kakde	Tue, Thu	8:30 - 10:00
MA 222	Measure & Integration	Gautam Bharali	Mon, Wed, Fri	11:00 - 12:00
MA 224	Complex Analysis	Bharathwaj Palvannan	Mon, Wed, Fri	10:00 - 11:00
MA 235	Introduction to Differentiable Manifolds	Subhojoy Gupta	Tue, Thu	3:30 - 5: 00
MA 241	Ordinary Differential Equations	Arka Mallick	Mon, Wed, Fri	3:00 - 4:00
MA 262	Introduction to Stochastic Processes	Srikanth Iyer	Tue, Thu	11:30 - 1:00
MA 278	Introduction to Dynamical Systems Theory	Janaki Balakrishnan	Tue, Thu	11:30 - 1:00
MA 318	Combinatorics	Arvind Ayyer	Tue, Thu	2:00 - 3:30
MA 348	Topics in function theoretic operator Theory	Tirthankar Bhattacharyya	Mon, Wed, Fri	10:00 - 11:00
MA 350	Topics in Analytic Number Theory	Soumya Das	Tue, Thu	11:30 - 1:00
MA 368	Topics in Probability and Stochastic Processes	Manjunath Krishnapur	Tue, Thu	2:00 - 3:30
MA 374	Introduction to the Calculus of Variations	Swarnendu Sil	Tue, Thu	2:00 - 3:30
