 	MA 208	MA 216	MA 218	MA 220	MA 237	MA 262	MA 267	MA 305	MA 310	MA 321	MA 326	MA 345	MA 346	MA 346a	MA 356	MA 365	MA 368	MA 372	MA 376
MA 208	12	1	1	1	0	1	1	0	3	0	0	0	0	0	3	1	1	1	0
MA 216	1	6	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0
MA 218	1	1	2	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0
MA 220	1	1	1	4	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0
MA 237	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1
MA 262	1	0	0	1	1	5	1	0	0	0	0	0	0	0	0	0	0	0	1
MA 267	1	1	1	2	0	1	4	0	0	0	0	0	0	0	1	1	0	0	0
MA 305	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
MA 310	3	1	0	0	0	0	0	0	8	0	1	0	0	0	6	0	0	1	0
MA 321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MA 326	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	2	0
MA 345	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0
MA 346	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
MA 346a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MA 356	3	1	2	1	0	0	1	0	6	0	1	0	0	0	11	1	0	1	0
MA 365	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	3	1	0	0
MA 368	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0
MA 372	1	0	0	0	0	0	0	1	1	0	2	1	0	0	1	0	0	5	0
MA 376	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
